id,code,side,shares,price,note,traded_at
2009,CBRS,buy,8,253.258193969727,auto_test:intraday,2026-08-17T23:35:18.585573
2010,CBRS,sell,8,254.895004272461,auto_test:intraday,2026-08-17T23:43:26.787796
2011,AXTI,buy,22,92.9899978637695,auto_test:intraday,2026-08-17T23:56:39.239346
2012,AXTI,sell,22,92.6999969482422,auto_test:intraday,2026-08-18T00:01:44.117114
2013,FDMT,buy,157,13.5,auto_test:intraday,2026-08-18T02:07:34.013499
2014,FDMT,sell,157,13.59850025177,auto_test:intraday,2026-08-18T02:15:41.233660
2015,FDMT,buy,154,13.7200002670288,auto_test:intraday,2026-08-18T02:33:58.472213
2016,FDMT,sell,154,13.7349996566772,auto_test:intraday,2026-08-18T02:41:05.099528
2017,KURA,buy,169,12.5600004196167,auto_test:intraday,2026-08-18T23:16:08.714330
2018,KURA,sell,169,12.6000003814697,auto_test:intraday,2026-08-18T23:20:12.763442
2019,CAPR,buy,297,7.15000009536743,auto_test:intraday,2026-08-18T23:32:23.748014
2020,CAPR,sell,297,6.96999979019165,auto_test:intraday,2026-08-18T23:35:26.670272
2021,ASYS,buy,131,16.1550006866455,auto_test:intraday,2026-08-19T00:05:51.304881
2022,ASYS,sell,131,16.3400001525879,auto_test:intraday,2026-08-19T00:21:04.253664
2023,ASYS,buy,129,16.4599990844727,auto_test:intraday,2026-08-19T00:34:16.162847
2024,ASYS,sell,129,16.4099998474121,auto_test:intraday,2026-08-19T00:37:19.324449
2025,CAPR,buy,309,6.85500001907349,auto_test:intraday,2026-08-19T03:18:33.542688
2026,CAPR,sell,309,6.875,auto_test:intraday,2026-08-19T03:22:37.761345
2027,CAPR,buy,308,6.88000011444092,auto_test:intraday,2026-08-19T03:33:49.280618
2028,CAPR,sell,308,6.8600001335144,auto_test:intraday,2026-08-19T03:38:54.141941
